| Function										| Returns				| Meaning
+-----------------------------------------------+-----------------------+---------------------------------------------------------------------
| [BUK_HP_StructX]								| Number Value			| Kind Variable (X = 1-9)
| [BUK_dangerHP_StructX]						| Number Value			| Kind Variable (X = 1-9)
| [BUK_perilHP_StructX]							| Number Value			| Kind Variable (X = 1-9)
| [BUK_level_StructX]							| Number Value			| Kind Variable (X = 1-9)
| [BUK_bonusXP_StructX]							| Number Value			| Kind Variable (X = 1-9)
| [BUK_bonusCoin_StructX]						| Number Value			| Kind Variable (X = 1-9)
| [BUK_bonusCoinRate_StructX]					| Number Value			| Kind Variable (X = 1-9)
| [BUK_baseCoin_StructX]						| Number Value			| Kind Variable (X = 1-9)
| [BUK_runRate_StructX]							| Number Value			| Kind Variable (X = 1-9)
| [BUK_pbCap_StructX]							| Number Value			| Kind Variable (X = 1-9)
| [BUK_swallowChance_StructX]					| Number Value			| Kind Variable (X = 1-9)
| [BUK_swallowAttribute_StructX]				| Conditional Phrase	| Kind Variable (X = 1-9)
| [BUK_ultraHammerKnockChance_StructX]			| Number Value			| Kind Variable (X = 1-9)
| [BUK_itemStealParameter_StructX]				| Number Value			| Kind Variable (X = 1-9)
| 												|						|
| [BUKP_MostPreferredSelectTarget_StructX]		| Yes/No				| Part Variable (X = 1-9)
| [BUKP_PreferredSelectTarget_StructX]			| Yes/No				| Part Variable (X = 1-9)
| [BUKP_SelectTarget_StructX]					| Yes/No				| Part Variable (X = 1-9)
| [BUKP_WeakToAttackFxR_StructX]				| Yes/No				| Part Variable (X = 1-9)
| [BUKP_WeakToIcePower_StructX]					| Yes/No				| Part Variable (X = 1-9)
| [BUKP_IsWinged_StructX]						| Yes/No				| Part Variable (X = 1-9)
| [BUKP_IsShelled_StructX]						| Yes/No				| Part Variable (X = 1-9)
| [BUKP_IsBombFlippable_StructX]				| Yes/No				| Part Variable (X = 1-9)
| [BUKP_NeverTargetable_StructX]				| Yes/No				| Part Variable (X = 1-9)
| [BUKP_Untattleable_StructX]					| Yes/No				| Part Variable (X = 1-9)
| [BUKP_JumplikeCannotTarget_StructX]			| Yes/No				| Part Variable (X = 1-9)
| [BUKP_HammerlikeCannotTarget_StructX]			| Yes/No				| Part Variable (X = 1-9)
| [BUKP_ShellTosslikeCannotTarget_StructX]		| Yes/No				| Part Variable (X = 1-9)
| [BUKP_IsImmuneToDamageOrStatus_StructX]		| Yes/No				| Part Variable (X = 1-9)
| [BUKP_IsImmuneToOHKO_StructX]					| Yes/No				| Part Variable (X = 1-9)
